Fbref,Player,Total_npG,Total_npxG,finishing
8a3c1dc7,Rico Henry,3,3.1,1.0
8a53d24b,Ike Ugbo,17,15.0,1.03
8a56c04c,Ryan Mmaee,3,5.6,0.96
8a6ab963,Andrey Lunyov,0,0.0,1.0
8a6daac3,Jordan Holsgrove,4,2.5,1.03
8a6de8c7,Lameck Banda,4,6.7,0.96
8a6e0e81,Mark Diemers,2,4.2,0.96
8a7ff278,Joel Ward,1,2.3,0.98
8a958856,Arthur,0,0.1,1.0
8aadeaef,Ben Woodburn,1,3.3000000000000003,0.96
8aae94b9,Mamadou Mbaye,0,0.4,0.99
8aafd64f,João Félix,23,21.9,1.01
8abb6799,Rodrigo Moura,0,0.0,1.0
8abd0c03,Marvin Zeegelaar,1,0.30000000000000004,1.01
8abd174d,Michael Svoboda,0,1.1,0.98
8ac454b5,Paddy McNair,4,5.699999999999999,0.97
8ac501f5,Monchu,3,2.8,1.0
8ac5a646,Kennedy Boateng,3,4.3,0.98
8ac64b4e,Mohamed Toure,0,0.0,1.0
8ac7161e,José Carlos Marafona,0,0.0,1.0
8ae7d0ec,Assane Diao,2,2.5,0.99
8aec0537,Pascal Groß,14,13.200000000000001,1.01
8aff2b51,Michael Ndiweni,0,0.0,1.0
8aff6bc7,Layton Stewart,0,0.3,0.99
8b04d6c1,Pierre Højbjerg,6,4.6,1.02
8b298f56,Clément Grenier,1,0.8,1.0
8b35dc4b,Wallisson Luiz,0,0.2,1.0
8b364abd,Igor Marques,1,0.2,1.01
8b3ab7ad,Edson Álvarez,9,9.3,1.0
8b529245,Carlos Vinícius,13,13.799999999999999,0.99
8b57ad2c,João Gomes,3,2.0,1.02
8b609c34,Wilfried Singo,6,6.1,1.0
8b625720,Tachi,0,0.0,1.0
8b66d9cc,Yann Karamoh,5,4.2,1.01
8b6bfc53,Jamie Paterson,16,11.1,1.07
8b6e0db2,Reece Oxford,2,2.2,1.0
8b6f4c3f,Jake Daniels,0,0.0,1.0
8b788c01,Anthony Martial,7,7.8,0.99
8b84b707,Julián Malatini,1,1.0,1.0
8b8a56ce,Simon Kjær,0,1.0,0.98
8b8c0095,João Gonçalves,0,0.0,1.0
8b8e759d,Marko Grujić,2,2.9000000000000004,0.98
8b95acda,Omar Colley,1,2.4,0.98
8b9ebd03,Willian,7,7.0,1.0
8ba29cfb,Lee Evans,0,0.0,1.0
8bba5887,Jamie Jones,0,0.0,1.0
8bbe2df5,Domagoj Bradarić,0,1.1,0.98
8bc1f137,Zé Carlos,0,0.30000000000000004,0.99
8bc8829a,Lucien Agoume,0,2.8000000000000003,0.95
8bf58a80,Andreas Ivan,0,0.0,1.0
8bfbf257,Mahamadou Nagida,0,0.1,1.0
8c014897,Fábio China,0,0.2,1.0
8c12f884,Jon Rowe,12,5.699999999999999,1.1
8c25d35a,George Cox,2,2.0,1.0
8c3078cd,Luke Harris,0,0.3,0.99
8c3c640c,Mikel Oyarzabal,14,15.2,0.98
8c410668,Lamine Diaby,1,1.7,0.99
8c4b95af,David Akpan Ankeye,0,0.0,1.0
8c4e56cb,Francisco Jesús Crespo García,2,1.3,1.01
8c63fae5,Luca Ranieri,3,1.6,1.02
8c65eb5f,Mato Jajalo,0,0.4,0.99
8c6c6096,Iván Rossi,0,0.4,0.99
8c6d0e32,Borja Vázquez,0,0.0,1.0
8c725b43,Germán Pezzella,2,4.2,0.96
8c90fd7a,Victor Osimhen,50,40.8,1.1
8c964914,Giovanni Crociata,0,0.1,1.0
8c9aab00,Tom Lees,5,7.4,0.96
8ca358c5,Victor Parada,0,0.0,1.0
8ca9415f,Félix Lemaréchal,0,0.1,1.0
8cabdc1e,Andrea Consigli,0,0.0,1.0
8cc29864,Lorenzo Tonelli,0,0.4,0.99
8ce30c57,Éder Álvarez Balanta,0,0.1,1.0
8cef2308,Pelle van Amersfoort,13,13.7,0.99
8cfc2f69,Ángel Rodríguez,5,6.699999999999999,0.97
8d03ca5a,Jamie Shackleton,0,1.2000000000000002,0.98
8d228291,Charlie Austin,4,5.0,0.98
8d32206c,Jack Whatmough,1,2.4,0.98
8d3c902d,Cheikhou Kouyaté,1,1.2,1.0
8d3cd59d,Carlos Augusto,6,5.4,1.01
8d47bb39,Carlos Neva,0,1.1,0.98
8d62d31a,Joe Rodon,1,2.7,0.97
8d78e732,Robert Lewandowski,68,67.8,1.0
8d82551b,Ivo Pinto,0,0.8,0.99
8da74c05,Adrien Tameze,4,2.8,1.02
8daee720,Simone Pafundi,0,0.2,1.0
8db394aa,Ximo Navarro,0,0.8999999999999999,0.98
8db95f95,Florent da Silva,1,0.9,1.0
8dbc3f20,Pedro Amaral,1,0.5,1.01
8dbff17c,Adil Rami,3,1.5,1.03
8dcf77c0,Rodrigo Gomes,8,8.0,1.0
8df328f4,Abdourahmane Barry,0,0.0,1.0
8df5f70b,Callum Lang,1,4.1,0.95
8df7a2fb,Ben Mee,8,6.9,1.02
8dfdc6c3,John Yeboah,0,0.2,1.0
8dfed6e9,Adolfo Gaich,2,2.5,0.99
8e010ff4,Francisco Portillo,2,0.7,1.02
8e034340,Noa Lang,4,2.7,1.02
8e0658cc,Samuel Justo,1,0.6,1.01
8e088e04,Toni Lato,1,1.0,1.0
8e0ec853,Krystian Bielik,2,3.5,0.97
8e16dd48,Luis Sinisterra,20,16.2,1.05
8e235926,Michael Gregoritsch,25,23.6,1.02
8e24902a,Fabio Tavares,2,0.4,1.03
8e48dc61,Ander Guevara,1,0.7999999999999999,1.0
8e633970,Lewis Warrington,0,0.0,1.0
8e697a8f,Dan Ndoye,1,5.0,0.93
8e75af55,Billy van Duijl,0,0.0,1.0
8e92be30,Alexander Isak,29,30.7,0.98
8ea1ee1d,Antonio Zarzana,0,0.2,1.0
8ea2227a,Matthew Clarke,2,5.4,0.94
8eb55dbb,Sheraldo Becker,17,11.1,1.09
8eb5c94c,Nnamdi Collins,0,0.0,1.0
8ebea784,Martyn Waghorn,2,6.9,0.92
8ec109e6,Caleb Okoli,0,1.1,0.98
8ec56e62,Marco Carnesecchi,0,0.0,1.0
8eebb330,Walterson,1,2.8,0.97
8eec784d,Timothy Weah,3,7.7,0.93
8eef18aa,Sikou Niakaté,3,1.6,1.02
8ef2452a,Alessandro Sorrentino,0,0.0,1.0
8f009fda,Derry Murkin,0,2.1,0.96
8f025475,Pedro Manuel da Silva Moreira,0,0.7,0.99
8f0435c7,António Silva,5,6.0,0.98
8f056768,Xaver Schlager,1,1.7000000000000002,0.99
8f0f2230,Kenan Karaman,1,2.5,0.97
8f299faf,Michaël Heylen,0,0.3,0.99
8f29e08b,Juan Pérez,0,0.0,1.0
8f325097,Nicolas Cozza,4,3.7,1.01
8f3565b3,Ante Budimir,28,25.5,1.03
8f4541c2,Julian Araujo,1,0.7,1.01
8f534f8e,Loïc Mbe Soh,1,0.4,1.01
8f5cdf66,Oliver Abildgaard,0,0.1,1.0
8f5e92a6,Rodrygo,22,27.2,0.94
8f62b6ee,Hugo Lloris,0,0.0,1.0
8f63b5ef,Norbert Haymamba,0,0.0,1.0
8f660142,Andre Dozzell,3,2.4,1.01
8f68aa41,Valentin Antov,0,0.0,1.0
8f696594,Memphis,18,17.0,1.01
8f7a3ee6,Giannis Masouras,0,0.2,1.0
8f7e6783,Calvin Stengs,7,8.2,0.98
8f866fe8,Manolo Gabbiadini,13,11.3,1.03
8f898ba8,Guido Carrillo,2,2.6,0.99
8f8c6934,David Soria,0,0.0,1.0
8f9c9b14,George Tanner,1,1.1,1.0
8f9efeef,Jordy Bruijn,6,7.3,0.98
8fa8f8d2,Rúnar Alex Rúnarsson,0,0.0,1.0
8fae77ea,Jordi Masip,0,0.0,1.0
8fc43595,Xavier Mbuyamba,5,2.6,1.04
8fd083bb,Lucas Áfrico,0,0.3,0.99
8fd9996f,Danilo Pereira,7,6.9,1.0
8fe2101a,Alan Ruiz,4,3.1999999999999997,1.01
8fe2a392,Micky van de Ven,4,1.9000000000000001,1.04
8fef5412,Andrea Conti,1,0.4,1.01
8ff2354e,Marcel Halstenberg,2,1.4000000000000001,1.01
8ff37fd4,Ilija Vukotić,1,0.5,1.01
9004f318,Samuel Loric,0,0.1,1.0
900551c9,Walter González,0,0.6,0.99
9014a9c8,D'Leanu Arts,0,0.0,1.0
90162357,Mario Hernández,1,0.30000000000000004,1.01
9019e4d8,James Beadle,0,0.0,1.0
901c0f97,Manuel Prietl,0,1.0,0.98
901d4aa7,Martim Fernandes,0,0.0,1.0
901e930c,Carlos,1,0.5,1.01
9029d5f2,Gonçalo Franco,2,2.8,0.99
90339309,Jerry St. Juste,2,1.6,1.01
90359f26,Toby Sibbick,1,0.1,1.02
9038c2a1,Jason,6,8.1,0.97
903b6e8b,José Sá,0,0.0,1.0
9050ddc4,Jetro Willems,1,1.1,1.0
906baf89,Theocharis Tsingaras,0,0.0,1.0
907a5d7c,Yehor Yarmoliuk,0,1.0,0.98
907aafc4,Michel Costa,0,0.1,1.0
9085dd7c,Paolo Faragò,0,0.4,0.99
909222de,Nuno da Costa,5,4.6,1.01
90a9cc01,Kays Ruiz Atil,0,0.0,1.0
90ba7fa6,Ivan Jaime Pajuelo,10,8.5,1.02
90bbd822,Álvaro García,18,15.1,1.04
90c1f9a4,Tom Rothe,1,0.30000000000000004,1.01
90d88154,Pascal Klemens,0,0.0,1.0
90def3ab,Mateo Tanlongo,0,0.2,1.0
90df343e,Carlos Vicente,2,2.3,0.99
90e1d9dc,Riccardo Stivanello,0,0.0,1.0
90e9ca3d,Marcus Harness,4,2.9,1.02
90eb507d,Thomas Foket,1,0.9,1.0
90ee44a0,Patrick Jones,1,1.0,1.0
90f87966,José Fonte,1,3.0999999999999996,0.96
90f91999,John McGinn,10,8.9,1.02
90fcf472,Wesley Saïd,17,13.3,1.05
910e3cad,Ilyes Housni,0,0.0,1.0
911080b1,Luigi Canotto,0,0.0,1.0
911680d8,Robbin Ruiter,0,0.0,1.0
9142b22f,Telasco Segovia,0,0.5,0.99
914ab9a1,Christian Kabasele,2,2.7,0.99
914bb955,Christopher Operi,3,1.2,1.03
914cabbb,Andy Lyons,4,1.9,1.04
9169bc41,Harry Cornick,16,14.2,1.03
91748070,Teden Mengi,1,1.2,1.0
917e933f,Siemen Voet,0,0.6,0.99
918e20ed,Bart van Hintum,0,0.8,0.99
91977af7,Liam Roberts,0,0.0,1.0
919dd4b1,Raúl Moro,0,0.5,0.99
91b11d25,Bogdan Milovanov,0,0.30000000000000004,0.99
91b43c98,Rafael Camacho,0,1.5,0.97
91c99fec,Hélio Varela,6,4.9,1.02
91c9de34,Denilho Cleonise,2,4.7,0.95
91cd37b7,Haji Wright,13,15.2,0.97
91d0fabf,Riccardo Marchizza,0,0.7,0.99
91ea9f40,Daniel Barlaser,1,1.1,1.0
91f04b44,Benjamin Tetteh,1,1.5,0.99
91f2da4c,Casimir Ninga,0,0.8,0.99
91f7631f,Iñigo Ruiz de Galarreta,1,1.0,1.0
91ff775f,Nicolò Cambiaghi,7,7.3,1.0
9200d432,Ibrahim Sadiq,2,1.7,1.01
92015ac1,Rui Mendes,1,1.5,0.99
920afe91,Perry Ng,8,5.9,1.03
921f28d7,Maxime Awoudja,0,0.2,1.0
921f6058,José Luis Palomino,2,2.6,0.99
9226aa22,Kamory Doumbia,9,7.7,1.02
9228b07c,Tom Davies,1,2.4,0.98
922da988,Awer Mabil,0,0.2,1.0
922dfade,Crespo,1,0.2,1.01
922f894e,Ibrahima Camará,0,2.2,0.96
923f4dda,Serhou Guirassy,42,35.0,1.08
924081a5,Mansur,0,1.0,0.98
92432bc6,Amadou Haidara,7,5.1,1.03
924f9191,Grischa Prömel,13,12.6,1.01
924ff27e,Leo Román,0,0.0,1.0
9250bcff,Christian Gytkjær,1,3.1,0.96
925dd6eb,Guilherme Araújo Soares,0,0.0,1.0
9260926b,Ibrahim Amadou,1,0.5,1.01
926492d5,Pharrell Willis,0,0.0,1.0
928143e7,Elayis Tavsan,10,12.7,0.96
92868cb5,Divin Mubama,0,0.1,1.0
928a4a61,Jens Cajuste,4,3.9,1.0
92948149,Lukas Klünter,0,0.0,1.0
92948398,Leo Štulac,2,0.2,1.03
9295dc1c,Vitinho,3,5.1,0.97
9298c3b3,Tyler Magloire,0,0.0,1.0
92a16062,Eric Martel,2,3.9000000000000004,0.97
92b4758e,Samir Santos,0,1.3,0.98
92b56413,Tristan Dingomé,2,1.0,1.02
92d38e6c,Dimitris Siovas,2,2.5,0.99
92d83c27,Mattias Svanberg,8,9.5,0.98
92d90c8f,Siriné Doucouré,1,1.6,0.99
92e7e919,Son Heung-min,48,36.4,1.13
92ffb8f9,Vincent Sierro,2,2.4,0.99
930585c0,Paul Huntington,0,0.1,1.0
9306d5ea,Jonathan Hogg,2,2.3,0.99
93088fbb,Marko Lazetić,0,0.30000000000000004,0.99
93090f69,Domingos Duarte,1,2.5,0.97
9319781b,Ben Johnson,1,0.5,1.01
931bf61a,Elijah Dixon-Bonner,0,0.6,0.99
9328b835,Łukasz Fabiański,0,0.0,1.0
932bfcac,Jan Schöppner,2,1.1,1.02
9338c17e,Marvin Ekpiteta,6,3.8,1.04
933d3b51,Koffi Djidji,1,1.6,0.99
934a0957,Albert Lottin,0,0.1,1.0
934e1968,Dominik Szoboszlai,14,12.4,1.02
9350ccef,Adam Mayor,0,0.0,1.0
935e6b8f,Jordan Henderson,2,3.1,0.98
936ac844,Mor Ndiaye,0,0.9,0.98
93750f7d,Ryan Johansson,0,0.1,1.0
937c6ae6,Roger Martínez,0,0.0,1.0
938d8a55,Giovanni Bonfanti,0,0.1,1.0
938fa024,Brandon Aguilera,0,0.0,1.0
939bc634,Jonas Lössl,0,0.0,1.0
93a50d2c,Kasim Nuhu,0,0.1,1.0
93a8c4f9,Lukas Daschner,1,2.3,0.98
93affd76,Liam Palmer,2,0.9,1.02
93b054dc,Álvaro Aguirre,0,0.0,1.0
93b891d1,Felipe Caicedo,1,1.4,0.99
93b8f9f4,Warren Tchimbembé,0,0.0,1.0
93c942fb,Théo Sainte-Luce,1,0.5,1.01
93c9e7d9,Wahid Faghir,1,0.4,1.01
93cba339,Derry Scherhant,1,0.2,1.01
93cf32a8,Nicolas Nkoulou,0,0.0,1.0
93d5feb6,Ricardo Fernandes,0,0.0,1.0
93d62727,Mouhamadou-Naby Sarr,4,2.8,1.02
93e08bce,Ameen Al-Dakhil,1,1.8,0.99
93feac6e,Patrick Bamford,14,18.6,0.94
93fffbcf,Diogo Costa,0,0.0,1.0
94130fc4,Luiz Phellype,0,0.8,0.99
9413b19f,Alex Meret,0,0.0,1.0
9424b983,Rafa,0,0.0,1.0
942b4f90,Wissam Ben Yedder,46,36.0,1.11
94302c52,Timo Hübers,4,4.9,0.98
943a8857,Curtis Nelson,1,2.8,0.97
943b9602,Julian Eitschberger,0,0.0,1.0
94622837,Dylan Saint-Louis,1,0.5,1.01
9469388f,Marouan Azarkan,3,3.8,0.99
9469fb13,Barry Bannan,1,1.7,0.99
947e036f,Sérgio Oliveira,3,1.2,1.03
94816803,Riccardo Sottil,5,6.1,0.98
94a01643,Coniah Boyce-Clarke,0,0.0,1.0
94acdd4e,Sergi Altimira,1,0.2,1.01
94b2001f,Danilo,5,4.699999999999999,1.01
94b442c0,Noah Guede-Nadje,0,0.0,1.0
94bccc82,Natan,0,0.4,0.99
94c18565,Florian Kainz,7,8.1,0.98
94d628b1,Ross McCrorie,0,0.8,0.99
94e01ec6,Jesús Areso,1,0.2,1.01
94eafdc4,Kenzo Goudmijn,4,4.5,0.99
94f8d10c,Duje Ćaleta-Car,3,3.1,1.0
94ff9075,Gabriel Pereira,4,3.0,1.02
94ffccb3,Sonny Bradley,2,1.3,1.01
9501e75c,Vincent Sasso,6,3.7,1.04
95192fe4,Waniss Taibi,0,0.4,0.99
951f1739,André Horta,4,4.699999999999999,0.99
952672e1,Aden Flint,6,7.8,0.97
952a03fe,Sebastien De Maio,0,0.0,1.0
952d12cf,Erik Schouten,2,2.1,1.0
953597a1,Luís Neto,0,0.7,0.99
953c30b0,Jakob Sørensen,2,0.8,1.02
95469c7f,Edgar Costa,1,2.3,0.98
95471a13,James Collins,3,5.5,0.96
95646f9b,Damil Dankerlui,0,1.1,0.98
956a78ea,Issa Bah,0,0.0,1.0
957ac8ad,Jesús Castillo,0,0.1,1.0
957d41d2,Achraf Lazaar,0,0.3,0.99
957e4c87,Giulio Maggiore,6,6.8,0.99
95869fab,Callum Brittain,1,6.3,0.91
958a601f,Paweł Jaroszyński,0,0.1,1.0
958d67bb,Miguel Rodríguez,1,0.4,1.01
9592289a,Simone Zaza,0,1.0,0.98
9593331d,Hans Nunoo Sarpei,0,0.1,1.0
9594c571,Miguel Rebelo,0,0.0,1.0
959eff56,Brian Plat,0,1.2999999999999998,0.98
95a98690,Luis Semedo,0,1.7,0.97
95bb6ddc,Junior Dina Ebimbe,8,8.8,0.99
95bd120d,Deivid Washington,0,0.5,0.99
95d39da6,Joshua Kayode,0,0.0,1.0
95efdac2,Ryan Thomas,1,0.7999999999999999,1.0
95f5aae8,Bjorn Meijer,2,1.2,1.01
95facda1,Nahitan Nández,1,3.7,0.95
95fb78a3,Sékou Oumar Sylla,1,0.0,1.02
96094cbc,Pizzi,4,3.2,1.01
961a5164,Ethan Robson,0,0.2,1.0
96214dd1,Jason Sraha,0,0.0,1.0
962e54cb,Gonçalo Paciência,7,6.8,1.0
963829d0,Manu Trigueros,6,6.6000000000000005,0.99
963a328b,Tolgay Arslan,2,3.4000000000000004,0.98
963a9201,Jack Colback,6,1.8,1.07
9642c929,Florian Flick,0,0.1,1.0
9647e6f7,Mohammed Osman,0,0.5,0.99
96593e89,James Mcatee,11,8.7,1.04
965fc36d,Bruno Wilson,1,4.3,0.94
9662c9ec,Patrick Osterhage,2,2.0,1.0
96640846,Samir Ujkani,0,0.0,1.0
966e28d0,Fabio Carvalho,20,13.3,1.1
966eea58,Sandi Lovrić,6,8.3,0.96
96726741,Loris Mouyokolo,0,0.0,1.0
9674002f,Mason Mount,14,9.6,1.07
967ac202,Paulo Azzi,0,1.2,0.98
967ac6e1,Massimo Luongo,3,2.6,1.01
967f34d3,Rubén Blanco,0,0.0,1.0
9684b64f,Greg Leigh,0,0.0,1.0
968a1c2f,Oier Zarraga,2,2.4000000000000004,0.99
968ddd14,Tommaso Martinelli,0,0.0,1.0
96960855,Francesco Cassata,0,0.0,1.0
96a7222e,Shaquil Delos,0,0.1,1.0
96bb8cc2,Robbie Brady,1,1.9000000000000001,0.98
96cf7b61,Wes Foderingham,0,0.0,1.0
96cfb5e2,Fabian Rüdlin,0,0.0,1.0
96d0b6f0,Lee Dongjun,0,0.3,0.99
96d77487,Lars Nieuwpoort,0,0.1,1.0
96ddfa79,Danel Sinani,7,7.3,1.0
96e0490d,Matteo Darmian,5,2.9,1.04
96ed76f9,Thomas Beekman,0,0.2,1.0
96f4ebc0,Marin Jakoliš,0,1.2000000000000002,0.98
96fcd380,Alexandre Letellier,0,0.0,1.0
970b8574,Federico Dimarco,11,8.5,1.04
972183e0,Abdellah Baallal,0,0.0,1.0
97220da2,Armando Broja,8,9.100000000000001,0.98
9722d36c,Josh Eccles,2,2.6999999999999997,0.99
972aeb2a,William Saliba,4,4.2,1.0
972f40d1,Harry Wood,0,0.0,1.0
9731ab71,João Vigário,0,0.0,1.0
97333cf5,Stuart Armstrong,9,11.4,0.96
9737f758,João Neto,0,0.1,1.0
974322dc,Iglesias,1,1.6,0.99
9744ff80,Pablo Sarabia,14,17.6,0.95
97572117,Allan Nyom,0,0.0,1.0
975eda74,Loizos Loizou,0,0.2,1.0
97852360,Fernando Pacheco,0,0.0,1.0
979b811d,Ivan Cavaleiro,3,3.7,0.99
97aa3b3d,Jesse van de Haar,0,0.0,1.0
97aba136,Lewie Coyle,2,2.1,1.0
97b2279d,Victor Jensen,8,6.699999999999999,1.02
97bfa797,Jean-Kévin Augustin,0,0.1,1.0
97d08e60,Alex Petxa,0,0.1,1.0
97d545ae,Ko Itakura,3,1.9,1.02
97d7afbd,Elia Caprile,0,0.0,1.0
97e2aa67,Iuri Medeiros,14,12.3,1.03
97e8ea97,Brian Oddei,0,0.1,1.0
97fb4608,Théo Pellenard,0,0.0,1.0
980522ec,Christian Eriksen,3,7.3,0.93
981c1863,Barbero,0,0.0,1.0
9823be92,Samuele Ricci,4,3.6,1.01
982cec7f,Nigel Thomas,4,3.2,1.01
983515f8,Liam Millar,5,3.2,1.03
9836e892,Willem Geubbels,2,1.8,1.0
983ff2c7,Lorenzo Venuti,0,0.7,0.99
984a5a64,Kyle Walker-Peters,4,3.9000000000000004,1.0
984eb48c,Callum Doyle,0,1.0,0.98
98529579,Valentino Scotta,0,0.0,1.0
986693ed,Francesco Gelli,0,0.7,0.99
987718f5,Sam Clucas,3,3.6999999999999997,0.99
9886c32e,Tom Watson,0,0.0,1.0
98882eb8,Josh Key,2,0.9,1.02
988ddfcf,Damian van Bruggen,0,0.4,0.99
988dfee2,Mats Knoester,0,1.3,0.98
989d5705,Jeff Hendrick,6,6.6,0.99
98a84572,Emil Ceide,0,0.9,0.98
98d06a15,Loick Ayina,0,0.0,1.0
98d2c2c4,Remo Freuler,2,3.0,0.98
98e0d76c,Jaydon Amauri Banel,0,0.4,0.99
98e19a24,Fahem Benaissa Yahia,0,0.0,1.0
98e292bb,João Miguel,0,0.1,1.0
98ea5115,David Raya,0,0.1,1.0
9907b1c8,Nicolò Zaniolo,5,11.1,0.91
99127249,Antony,14,17.5,0.95
99219195,Alexander Brunst,0,0.0,1.0
9939e168,Jon Moncayola,4,4.9,0.98
993b37a7,João Queirós,0,0.2,1.0
99454b60,Talocha,0,1.6,0.97
995c6783,Thijs Oosting,2,1.1,1.02
9964fc60,Oscar Barreto,0,1.1,0.98
99666073,Oliver Norburn,0,0.7,0.99
996fc502,Robin Pröpper,9,6.800000000000001,1.04
9970da54,Antonio Sivera,0,0.0,1.0
9976d562,Jordan Houghton,0,1.2,0.98
997fff07,Sebastiano Luperto,3,3.5999999999999996,0.99
9980269a,Kalifa Coulibaly,5,4.7,1.01
99813635,Adam Lallana,2,2.8000000000000003,0.99
999ceb5f,Boubacar Traoré,1,1.2000000000000002,1.0
999f20b3,Kristijan Belic,0,0.9,0.98
99aa1a84,Arijanet Muric,0,0.0,1.0
99be8fb5,Anthony Ujah,0,0.3,0.99
99bebd12,John Guidetti,0,1.0,0.98
99cad471,Denzel Hall,0,0.0,1.0
99d660b2,Branco van den Boomen,3,3.8,0.99
99de6b6f,Benjamin Hübner,1,1.1,1.0
99ea2ddd,Tomás Alarcón,0,1.1,0.98
99f7e9aa,Pascal Stenzel,0,0.5,0.99
9a008f51,Danny Hylton,4,2.6,1.02
9a0408b6,Pathé Ciss,4,5.8,0.97
9a104dee,Cenk Tosun,0,0.0,1.0
9a179298,Juan Calero,1,0.3,1.01
9a26fa06,Felix Garreta,0,0.0,1.0
9a28eba4,Adama Traoré,5,6.6,0.97
9a2e0ccc,Emil Forsberg,8,8.7,0.99
9a2e3a23,Dion Drena Beljo,5,4.6,1.01
9a3a436e,Richard Stearman,0,0.4,0.99
9a60d8f4,Gwion Edwards,0,0.0,1.0
9a64e67e,Robin Le Normand,3,3.5,0.99
9a71e978,Ki-Jana Hoever,8,4.9,1.05
9a76c2e9,Javi Hernández,2,2.7,0.99
9a796115,Abderrahman Rebbach,1,0.8,1.0
9a93efc9,Cenk Özkacar,0,1.1,0.98
9a9c05db,Matthew Lowton,1,0.8999999999999999,1.0
9ab16552,Makoto Hasebe,0,0.0,1.0
9ace87ba,Javier Rueda Garcia,0,0.0,1.0
9ad74b4d,Cristian,0,0.0,1.0
9ade9ce1,Anis Ben Slimane,0,0.8,0.99
9ae9eaea,Fernando Marçal,0,0.4,0.99
9af1f9ff,Jordan Beyer,1,2.0,0.98
9af3613f,Johaneko Louisjean,0,0.0,1.0
9af7cc6d,Ryan Longman,9,8.899999999999999,1.0
9af82a9f,David Kasumu,1,2.0,0.98
9afce63a,Sander van de Streek,13,11.600000000000001,1.02
9affc5f2,David Møller Wolfe,1,2.1,0.98
9b066938,Kaine Kesler-Hayden,1,2.1,0.98
9b130479,Kirian Rodríguez,6,2.1,1.07
9b1b7d78,Kilian Ludewig,0,0.0,1.0
9b1da146,Elliot Thorpe,0,0.0,1.0
9b23574b,Jason Van Duiven,0,0.4,0.99
9b26a433,Leopold Wahlstedt,0,0.0,1.0
9b3099d6,Przemysław Szymiński,0,0.0,1.0
9b398aea,Rayan Aït-Nouri,4,4.6,0.99
9b3ab988,Marcos López,0,0.6,0.99
9b5237b1,Andy Diouf,1,1.5,0.99
9b545925,Anthony Rouault,2,3.4,0.98
9b5ce51a,Jefferson Lerma,7,9.4,0.96
9b5d89b3,Fabio Torsiello,0,0.3,0.99
9b688ae1,Michael Zetterer,0,0.1,1.0
9b6d9b53,Valentin Rosier,0,0.0,1.0
9b6f7fd5,Lucas Paquetá,13,16.8,0.95
9b8be8bf,Omar Taylor-Clarke,0,0.4,0.99
9ba7b4fa,Enzo Ebosse,0,0.2,1.0
9bb1ad91,Luca Fiordilino,0,0.2,1.0
9bc450e6,Steven Vitória,4,5.5,0.98
9bc9a519,Djed Spence,2,2.4,0.99
9bd73cce,Michael Johnston,8,4.7,1.06
9bd97418,Kevin Miranda,0,0.0,1.0
9bdd8118,Gideon Mensah,0,0.2,1.0
9bf068be,Paweł Bochniewicz,5,3.6999999999999997,1.02
9bf22b95,Wagner Pina,0,0.6,0.99
9bf914b4,Orkun Kökçü,17,12.899999999999999,1.06
9c026a2f,Riccieli,4,3.7,1.01
9c1245f8,Allano,0,1.9,0.97
9c137b36,Álex Suárez,2,1.2,1.01
9c14a96b,Tiago Esgaio,2,1.5,1.01
9c221d14,Wout Faes,7,5.300000000000001,1.03
9c2b1f11,Kaj Sierhuis,15,18.0,0.96
9c36ed83,Nicolas Jackson,26,27.400000000000002,0.98
9c435456,Mario Gila,0,0.5,0.99
9c4f39b3,Tosin Aiyegun,2,1.8,1.0
9c5d3a7a,Joey Jacobs,2,1.9,1.0
9c86b2b8,Roberts Uldriķis,8,11.8,0.94
9c8b7f92,Brahima Diarra,0,1.1,0.98
9c8f641a,Samuel Armenteros,1,0.6,1.01
9c94165b,Luke Shaw,1,1.2000000000000002,1.0
9ca82cdb,Jacob Davenport,0,0.1,1.0
9ca8b21c,Macauley Bonne,0,0.1,1.0
9cc33204,Miguel Nóbrega,1,1.1,1.0
9cd28348,Rudy Kohon,0,0.0,1.0
9ceb7642,Pierre Kunde,1,0.3,1.01
9cf14be5,Justin Lonwijk,2,2.4,0.99
9cf4fd68,Nick Proschwitz,0,0.3,0.99
9cf7496b,Tom Barkhuizen,0,0.7,0.99
9cf87d33,Yves Baraye,2,2.0,1.0
9cfbad36,Julio Enciso,4,5.4,0.98
9d00bcd3,Jochem van de Kamp,2,1.9,1.0
9d12e142,Roman Bürki,0,0.0,1.0
9d21da85,Gernot Trauner,1,3.1,0.96
9d33c71a,Diego Iturralde,0,0.0,1.0
9d376bef,Medon Berisha,0,0.2,1.0
9d420dad,Yahia Fofana,0,0.0,1.0
9d498560,Ilyes Cheti,0,0.0,1.0
9d4a320a,Kyle Hudlin,0,0.1,1.0
9d4c45d6,Roberto Soriano,1,2.7,0.97
9d50bfd3,Mustapha Bundu,3,2.5,1.01
9d54fe49,Fedde de Jong,0,0.0,1.0
9d597f08,Sam Baldock,2,1.9,1.0
9d5dcc23,Lamine Gueye,0,1.4,0.98
9d60028d,Viktor Kovalenko,2,2.8,0.99
9d66fbe3,Roberto Soldado,3,3.7,0.99
9d7d5334,Cristian Borja,1,0.4,1.01
9d8cf204,Halil Dervişoğlu,1,0.6,1.01
9d9a71c1,Akin Famewo,0,0.5,0.99
9da07419,Isak Määttä,0,0.6,0.99
